No	클립제목	유튜브 링크	클립의 조회수	비고
1	편히 가십쇼【2021-01-02T11:25:49Z】	https://www.youtube.com/watch?v=ICj7SyeJ7V4	22	
2	탈모 컴뱃 금연 2일차【2021-01-02T11:44:03Z】	https://www.youtube.com/watch?v=KmplswPp8Ls	2	
3	도동파치 금연 3일차【2021-01-02T15:36:08Z】	https://www.youtube.com/watch?v=w3OjX7Hma2E	3	
4	노인정 국민게임 대결 금연 2일차【2021-01-02T17:27:48Z】	https://www.youtube.com/watch?v=z-bSBoiUlSI	2	
5	노인정 국민게임 대결 금연 2일차【2021-01-03T03:00:35Z】	https://www.youtube.com/watch?v=ab0TLFeGwCg	1	
6	사륜안【2021-01-03T04:58:22Z】	https://www.youtube.com/watch?v=SMU5siqFfkI	2	
7	도동파치 금연 3일차【2021-01-03T10:13:12Z】	https://www.youtube.com/watch?v=5cBWRfpEQI0	2	
8	도동파치 금연 3일차【2021-01-03T10:14:07Z】	https://www.youtube.com/watch?v=YMCNRnYYL_I	2	
9	미들핑거【2021-01-03T12:28:44Z】	https://www.youtube.com/watch?v=JshPbdcpuyA	2	
10	흡연 마지막날【2021-01-05T09:58:27Z】	https://www.youtube.com/watch?v=2hMB-ygXan0	3	
11	생선배 관짝쇼【2021-01-05T12:55:37Z】	https://www.youtube.com/watch?v=R5u4r0l0HBw	6	
12	그만하랬다【2021-01-05T13:20:19Z】	https://www.youtube.com/watch?v=3NXd7gMN6iI	11	
13	검증해봅시다【2021-01-05T13:21:19Z】	https://www.youtube.com/watch?v=PbXY_U_p4mw	4	
14	역린【2021-01-05T13:24:14Z】	https://www.youtube.com/watch?v=ZuAeJNaf-0Y	6	
15	탈모컴뱃1 금연 5일차【2021-01-05T13:33:52Z】	https://www.youtube.com/watch?v=QCDg-3RVF0k	3	
16	풀템 딜러【2021-01-05T13:53:39Z】	https://www.youtube.com/watch?v=PzvkLyav6-Y	19	
17	탈모컴뱃1 금연 5일차【2021-01-05T14:21:07Z】	https://www.youtube.com/watch?v=msIbWEtFr-8	2	
18	탈모컴뱃1 금연 5일차【2021-01-05T14:45:38Z】	https://www.youtube.com/watch?v=tixu-ci9KLI	9	
19	탈모컴뱃1 금연 5일차【2021-01-05T14:48:40Z】	https://www.youtube.com/watch?v=OJLjkppN2J8	2	
20	???【2021-01-05T15:13:18Z】	https://www.youtube.com/watch?v=8qX5C8BXO04	142	
21	금단증상 개싫어 금연 5일차【2021-01-05T18:29:47Z】	https://www.youtube.com/watch?v=WfKuWsre8wE	2	
22	금단증상 개싫어 금연 5일차【2021-01-06T04:23:09Z】	https://www.youtube.com/watch?v=0ULF88in0x8	10	
23	졸려! 금연 7일차【2021-01-07T12:19:49Z】	https://www.youtube.com/watch?v=5Kuus1wcb0c	1	
24	배경에 김선배!【2021-01-07T13:10:47Z】	https://www.youtube.com/watch?v=OX0i6cd7LX8	5	
25	찾았다! 끝났어 끝났어! -김선배【2021-01-07T13:12:45Z】	https://www.youtube.com/watch?v=U-8LkXrGcyw	3	
26	오늘 모탈컴뱃 끝낸다! -김선배【2021-01-07T13:13:52Z】	https://www.youtube.com/watch?v=Bm6FR3PDr3E	3	
27	생슨덴의 배이탈리티【2021-01-07T14:11:23Z】	https://www.youtube.com/watch?v=JaGx9Bg5Jgs	18	
28	탈모컴뱃ㄱ! 금연 7일차【2021-01-07T14:45:12Z】	https://www.youtube.com/watch?v=GheiIwj_Os8	2	
29	탈모컴뱃ㄱ! 금연 7일차【2021-01-07T14:48:05Z】	https://www.youtube.com/watch?v=birypwLoFgs	36	
30	버튼을 막 눌러버린 김선배【2021-01-07T15:27:00Z】	https://www.youtube.com/watch?v=6HmZUuYDlOY	4	
31	졸려! 금연 7일차【2021-01-07T15:29:20Z】	https://www.youtube.com/watch?v=b4WlPIjizGg	5	
32	잠방의 대가【2021-01-08T13:44:13Z】	https://www.youtube.com/watch?v=iWng-apkWF8	5	
33	채팅 무시하고 씹는 걸 지양합니다 - 김선배【2021-01-08T14:13:35Z】	https://www.youtube.com/watch?v=3T3zXD-T854	4	
34	탈모컴뱃 금연 8일차【2021-01-08T14:48:10Z】	https://www.youtube.com/watch?v=4fUDioDUHxI	1	
