No	클립제목	유튜브 링크	클립의 조회수	비고
1	조용히 철권 잠깐【2020-12-17T12:25:23Z】	https://www.youtube.com/watch?v=pjbHZ2tAxjQ	1	
2	잠들었다 깨버려서 조용히 철권하다 잠【2020-12-18T15:57:29Z】	https://www.youtube.com/watch?v=pyL5poFfu5o	1	
3	붕권은 눈으로 못막는다【2020-12-18T16:09:04Z】	https://www.youtube.com/watch?v=9BjVNCd_wUw	5	
4	오늘의 퍼펙트 패배【2020-12-18T16:13:27Z】	https://www.youtube.com/watch?v=kA3XtXJcVzI	2	
5	승단위기【2020-12-18T16:16:19Z】	https://www.youtube.com/watch?v=5gKFAdeQ1tY	8	
6	잠들었다 깨버려서 조용히 철권하다 잠【2020-12-19T02:05:08Z】	https://www.youtube.com/watch?v=7Q4bvCkgfBA	1	
7	아프다고!【2020-12-19T08:55:33Z】	https://www.youtube.com/watch?v=htP2WcVdxco	6	
8	첫판에죽는사람이어딨어【2020-12-19T10:01:55Z】	https://www.youtube.com/watch?v=I_Tb_301-28	172	
9	첫판에죽는사람이어딨어2【2020-12-19T10:18:17Z】	https://www.youtube.com/watch?v=ybnVl8cfE-w	9	
10	올해 워머신컷【2020-12-19T10:22:59Z】	https://www.youtube.com/watch?v=Rofkr1MoJjU	2	
11	성장을해버린나【2020-12-19T10:39:16Z】	https://www.youtube.com/watch?v=uYxvxHVBqMs	2	
12	아. 어마어마하게 성장했어. 성장을 해버렸어【2020-12-19T10:39:22Z】	https://www.youtube.com/watch?v=5eb8xd-mC2c	11	
13	던드2 도적 갈라쇼【2020-12-19T11:45:43Z】	https://www.youtube.com/watch?v=MpLTpkyG2fk	2	
14	아 첵스하고싶다【2020-12-19T11:45:51Z】	https://www.youtube.com/watch?v=45Tlcim4ga0	3	
15	던드2 도적 갈라쇼【2020-12-19T12:36:50Z】	https://www.youtube.com/watch?v=23O3c9FrWWM	1	
16	간만에 맞는말씀 하신 생선배님【2020-12-19T12:52:17Z】	https://www.youtube.com/watch?v=JrwhJzJxDmo	2	
17	첫판에죽는사람이어딨어3【2020-12-19T12:56:55Z】	https://www.youtube.com/watch?v=LD1EQoe-lOw	4	
18	던드2 도적 갈라쇼【2020-12-19T15:22:24Z】	https://www.youtube.com/watch?v=i1i4C0-0kNM	1	
19	던드2 도적 갈라쇼【2020-12-19T15:30:55Z】	https://www.youtube.com/watch?v=JkGlQjCajHU	2	
20	창조적인 플레이어 김선배【2020-12-19T15:34:14Z】	https://www.youtube.com/watch?v=q41So1_y4AA	8	
21	오래간만에 겜【2020-12-19T22:20:09Z】	https://www.youtube.com/watch?v=wwtI70E6SvY	1	
22	어제 던드2의 결과【2020-12-20T02:54:29Z】	https://www.youtube.com/watch?v=uzmZsPt0THg	8	
23	레드 드래곤 결과【2020-12-20T02:59:30Z】	https://www.youtube.com/watch?v=xGbQJm2dvQU	6	
24	때리라고 병x 아! -김선배【2020-12-20T09:26:18Z】	https://www.youtube.com/watch?v=mYah_tNy3PU	5	
25	정수리 의 힘 으로 클리어 【2020-12-20T09:28:23Z】	https://www.youtube.com/watch?v=HljF8WbrXrg	2	
26	던드2 도적 전검풀고 원코인 클리어【2020-12-20T09:28:48Z】	https://www.youtube.com/watch?v=B0mExI5VgIU	5	
27	파파 원코인 갈라쇼 DAY-1【2020-12-20T09:42:43Z】	https://www.youtube.com/watch?v=iXFBUkJdCFA	2	
28	뎀드가 쉽다는 이유【2020-12-20T09:42:44Z】	https://www.youtube.com/watch?v=pyrqHpNCNBY	51	
29	파파 원코인 갈라쇼 DAY-1【2020-12-20T09:43:00Z】	https://www.youtube.com/watch?v=x8iiXL5Z9dY	1	
30	파파 원코인 갈라쇼 DAY-1【2020-12-20T09:46:51Z】	https://www.youtube.com/watch?v=6Bu5B2HxnAo	2	
31	헐리우드 하단【2020-12-20T10:03:14Z】	https://www.youtube.com/watch?v=n_Q1xmSvDvQ	19	
32	불쇼【2020-12-20T10:06:27Z】	https://www.youtube.com/watch?v=P8BGjJq_qKQ	15	
33	던드2 도적 갈라쇼 DAY-2【2020-12-20T10:41:51Z】	https://www.youtube.com/watch?v=QVy1NrkyDhc	1	
34	해거 와리가리 특정캐릭들밖에 안됨 【2020-12-20T10:42:04Z】	https://www.youtube.com/watch?v=ZO3L4nHyhjU	3	
35	Y 축을 이용해서 - 김선배【2020-12-20T10:47:17Z】	https://www.youtube.com/watch?v=z9zYGIMFbBs	2	
36	파파 원코인 갈라쇼 DAY-2【2020-12-21T13:38:39Z】	https://www.youtube.com/watch?v=l4pzrbyYMoA	2	
37	파파 원코인 갈라쇼 DAY-2【2020-12-21T13:59:32Z】	https://www.youtube.com/watch?v=QBHWKGqDodc	3	
38	희망에 롤랜드 조지기【2020-12-21T14:03:55Z】	https://www.youtube.com/watch?v=_RsG-6ft9R8	4	
39	파파 원코인 갈라쇼 DAY-2【2020-12-21T23:38:04Z】	https://www.youtube.com/watch?v=th0A-KfiwsA	2	
